month,plan_ytd,actual_ytd
Januari,0,0
Februari,0,0
Maret,0,0
April,170000.0,340000.0
Mei,750000.0,940000.0
Juni,1330000.0,1590000.0
Juli,2310000.0,2590000.0
Agustus,3260000.0,3700480.0
September,4360000.0,4502810.0
Oktober,5610000.0,4502810.0
November,6830000.0,4502810.0
Desember,8070000.0,4502810.0
