month,plan_ytd,actual_ytd
Januari,0,0
Februari,0,0
Maret,0,0
April,0,0
Mei,30000.0,30000.0
Juni,80000.0,80000.0
Juli,160000.0,160000.0
Agustus,250000.0,241450.0
September,380000.0,341750.0
Oktober,560000.0,341750.0
November,780000.0,341750.0
Desember,1020000.0,341750.0
