month,plan,actual
Januari,0,0
Februari,0,0
Maret,0,0
April,170000.0,340000.0
Mei,580000.0,600000.0
Juni,580000.0,650000.0
Juli,980000.0,1000000.0
Agustus,950000.0,1110480.0
September,1100000.0,802330.0
Oktober,1250000.0,None
November,1220000.0,None
Desember,1240000.0,None
