month,plan_ytd,actual_ytd
Januari,0,0
Februari,0,0
Maret,0,0
April,0,0
Mei,9.66666666667,10.0
Juni,15.4666666667,17.0
Juli,21.5916666667,23.25
Agustus,26.8694444444,29.1431860037
September,31.1002136752,32.1342129229
Oktober,34.5724358974,32.1342129229
November,37.3451631702,32.1342129229
Desember,39.9284965035,32.1342129229
